2016-01-14	B554 	1	0	0	0	1	1	0
2016-01-14	B565 	2	19	0	0	21	21	0
2016-01-14	B571 	13	0	0	0	13	13	0
2016-01-14	B581 	2	0	0	0	2	2	0
2016-01-14	B591 	8	0	2	0	10	10	0
2016-01-14	*** did run ***
2016-01-15	A100 	491	22	3	3	519	522	22
2016-01-15	A125 	64	2	1	1	68	68	2
2016-01-15	A130 	21	1	2	0	24	nop	nop
2016-01-15	A131 	5	0	0	0	5	5	0
2016-01-15	A140 	15	1	1	0	17	nop	nop
2016-01-15	A198 	47	0	0	0	47	47	0
2016-01-15	A208 	25	0	0	0	25	25	0
2016-01-15	A230 	2	6	0	0	8	6	2
2016-01-15	A241 	0	1	0	0	1	1	0
2016-01-15	A242 	1	3	0	0	4	4	0
2016-01-15	A243 	6	2	0	0	8	8	0
2016-01-15	A246 	2	0	0	1	3	2	1
2016-01-15	A248 	19	0	0	0	19	19	0
2016-01-15	A296 	49	30	0	2	81	79	2
2016-01-15	A300 	30	7	1	0	38	38	0
2016-01-15	A310 	0	2	0	0	2	2	0
2016-01-15	A322 	1	0	0	0	1	1	0
2016-01-15	A332 	106	16	5	0	127	50	0
2016-01-15	A334 	15	0	0	0	15	15	0
2016-01-15	A342 	124	15	0	0	139	138	1
2016-01-15	B400 	324	17	3	3	347	341	6
2016-01-15	B410 	39	0	0	1	40	104	1
2016-01-15	B415 	18	29	0	0	47	47	0
2016-01-15	B418 	6	1	0	0	7	7	0
2016-01-15	B420 	30	0	0	0	30	30	0
2016-01-15	B424 	0	10	0	0	10	10	0
2016-01-15	B425 	55	0	0	2	57	52	5
2016-01-15	B433 	4	1	0	0	5	5	0
2016-01-15	B437 	9	3	2	1	15	14	1
2016-01-15	B452 	18	3	0	0	21	21	0
2016-01-15	B465 	11	2	2	0	15	12	3
2016-01-15	B467 	5	1	0	0	6	6	0
2016-01-15	B470 	8	0	0	0	8	8	0
2016-01-15	B476 	6	0	0	0	6	nop	nop
2016-01-15	B478 	9	1	0	0	10	nop	nop
2016-01-15	B490 	21	0	0	0	21	21	0
2016-01-15	B492 	38	1	0	0	39	39	0
2016-01-15	B498 	1	4	0	0	5	5	0
2016-01-15	B500 	153	22	4	3	182	174	8
2016-01-15	B501 	32	4	0	0	36	nop	nop
2016-01-15	B503 	9	0	0	0	9	nop	nop
2016-01-15	B505 	4	0	0	0	4	nop	nop
2016-01-15	B513 	1	0	0	0	1	1	0
2016-01-15	B517 	71	9	1	0	81	81	0
2016-01-15	B565 	3	1	0	0	4	4	0
2016-01-15	B569 	1	5	0	0	6	6	0
2016-01-15	B591 	6	5	0	0	11	11	0
2016-01-15	*** did run ***
2016-01-18	A100 	546	26	28	1	601	597	17
2016-01-18	A125 	80	8	5	16	109	94	17
2016-01-18	A130 	10	2	0	0	12	nop	nop
2016-01-18	A140 	3	0	2	1	6	nop	nop
2016-01-18	A192 	4	0	0	0	4	4	0
2016-01-18	A198 	5	0	0	0	5	5	0
2016-01-18	A208 	19	0	6	0	25	25	0
2016-01-18	A246 	1	0	0	0	1	1	0
2016-01-18	A248 	15	0	0	0	15	15	0
2016-01-18	A310 	8	9	0	0	17	17	0
2016-01-18	A322 	0	1	0	0	1	1	0
2016-01-18	A332 	207	11	0	0	218	42	1
2016-01-18	A334 	18	0	0	0	18	18	0
2016-01-18	A342 	192	1	2	0	195	172	23
2016-01-18	A351 	4	19	0	0	23	23	0
2016-01-18	A366 	8	0	0	0	8	4	4
2016-01-18	B400 	311	23	4	1	339	324	15
2016-01-18	B410 	41	2	2	0	45	105	1
2016-01-18	B418 	7	12	0	0	19	19	0
2016-01-18	B420 	10	0	1	0	11	9	2
2016-01-18	B424 	0	2	0	0	2	2	0
2016-01-18	B425 	9	0	0	0	9	9	0
2016-01-18	B430 	6	0	0	0	6	3	3
2016-01-18	B433 	8	3	0	0	11	10	1
